Country,State,Year,"Beneficiaries Covered Under National Food Security Act (Nfsa),2013 (%)  (UOM:%(Percentage)), Scaling Factor:1","Children Who Are Underweight Under Five Years Of Age (%)  (UOM:%(Percentage)), Scaling Factor:1","Children Who Are Stunned Under Five Years Of Age (%) (UOM:%(Percentage)), Scaling Factor:1","Anaemic Pregnant Women In The Age Group Of 15 To 49 Years (%) (UOM:%(Percentage)), Scaling Factor:1","Anaemic Adolescents In The Age Group Of 10 To 19 Years (%) (UOM:%(Percentage)), Scaling Factor:1","Rice And Wheat Produced Annually Per Unit Area-Directorate Of Economics And Statistics, 2018-19 (UOM:Kg/Ha(KilogramperHectare)), Scaling Factor:1","Gross Value Added (Constant Prices) In Agriculture Per Worker (UOM:INR(IndianRupees)), Scaling Factor:100000"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",100,,,61.4,,2122.08,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",100,35.5,31.5,52.9,21.7,3729.47,0.731586559
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",100,16,28,33.8,26.4,1806.62,1.28610716
India,Assam,"Calendar Year (Jan - Dec), 2020",94.27,29.4,32.4,44.8,36.9,2147.44,0.620668488
India,Bihar,"Calendar Year (Jan - Dec), 2020",99.85,38.7,42,58.3,28.1,2374.02,0.285549939
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",100,,,,,4973.62,3.106447831
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",98.39,40,35.4,41.5,31.2,1802.58,0.411434152
India,Delhi,"Calendar Year (Jan - Dec), 2020",100,28.1,28.8,46.1,29.2,3977.23,2.671202621
India,Goa,"Calendar Year (Jan - Dec), 2020",99.94,20.3,19.6,26.7,13.6,2716.68,4.208059562
India,Gujarat,"Calendar Year (Jan - Dec), 2020",100,34.2,39.1,51.3,33.4,2640.1,1.045593023
India,Haryana,"Calendar Year (Jan - Dec), 2020",99.92,28.8,34.9,55,29.9,4272.42,1.986093737
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",100,22.6,28.4,50.4,16.2,1738.76,0.601774203
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",97.01,13,15.5,38.1,15.8,2339.65,0.883446495
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",77.8,42.9,36.2,62.6,34,1890.35,0.312846963
India,Karnataka,"Calendar Year (Jan - Dec), 2020",99.79,32,32.5,45.4,17.2,2788.37,0.644917368
India,Kerala,"Calendar Year (Jan - Dec), 2020",100,18.7,20.5,22.6,9.1,2920.12,2.201217696
India,Ladakh,"Calendar Year (Jan - Dec), 2020",99.11,13,15.5,38.1,15.8,2339.65,0.883446495
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",91.1,,,39,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",100,38.7,39.5,54.6,21.2,2656.57,0.688383191
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",100,30.9,34.1,49.3,28.3,1967.9,0.65159406
India,Manipur,"Calendar Year (Jan - Dec), 2020",100,13,28.9,25.2,10.5,1727.59,0.570907281
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",98.04,30,40.4,49.5,31.8,1821.24,0.548697837
India,Mizoram,"Calendar Year (Jan - Dec), 2020",99.98,11.3,27.4,26.6,17.9,1688.05,1.143235692
India,Nagaland,"Calendar Year (Jan - Dec), 2020",94.65,16.3,26.2,28.9,8.4,1665.91,0.740203086
India,Odisha,"Calendar Year (Jan - Dec), 2020",94.98,29.2,29.1,47.6,29.5,2003.84,0.443269139
India,Puducherry,"Calendar Year (Jan - Dec), 2020",56.34,,,27.8,,3546.34,1.09584535
India,Punjab,"Calendar Year (Jan - Dec), 2020",99.2,19.7,24.3,42,25.9,4693.24,2.574976715
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",100,31.5,36.8,46.6,26,3423.23,0.858623713
India,Sikkim,"Calendar Year (Jan - Dec), 2020",100,11,21.8,23.6,25.8,1842.55,0.954243648
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",93.3,23.5,19.7,44.3,16.4,3561.89,0.869022931
India,Telangana,"Calendar Year (Jan - Dec), 2020",97.98,30.8,29.3,49.8,32.1,3448.32,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",80.41,,,33.95,,1688.93,
India,Tripura,"Calendar Year (Jan - Dec), 2020",99.96,23.8,31.9,54.4,41.4,2943.91,1.263291587
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",99.23,36.8,38.8,51,31.6,3158.46,0.58550627
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",100,18.7,29.9,43.9,15.7,2691.48,0.712128817
India,West Bengal,"Calendar Year (Jan - Dec), 2020",100,30.9,25.3,53.6,45.5,2947.7,0.956195114
