Country,State,Year,"Maternal Mortality Ratio Per 1,00,000 Live Births (UOM:PerLakh(100000)), Scaling Factor:1","Mortality Rate Per 1,000 Live Births Under 5 Years Of Age (UOM:Number), Scaling Factor:1","Fully Immunized Children In The Age Group Of 9 To 11 Months (%) (UOM:%(Percentage)), Scaling Factor:1","Notification Rate Of Tuberculosis Cases Per 1,00,000 Population (UOM:PerLakh(100000)), Scaling Factor:1","Human Immunodeficiency Virus (Hiv) Incidence Per 1,000 Uninfected Population (UOM:Number), Scaling Factor:1","Suicide Rate Per 1,00,000 Population (UOM:PerLakh(100000)), Scaling Factor:1","Death Rate Due To Road Traffic Accidents Per 1,00,000 Population (UOM:PerLakh(100000)), Scaling Factor:1","Institutional Deliveries Out Of The Total Deliveries Reported (%)  (UOM:%(Percentage)), Scaling Factor:1","Monthly Per Capita Out Of Pocket Expenditure On Health As A Share Of Monthly Per Capita Consumption Expenditure (Mpce) (UOM:%(Percentage)), Scaling Factor:1","Number Of Physicians, Nurses And Midwives Per 10,000 Population (UOM:PerTenThousand(10000)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,,66,151,0.05,45.5,5.025125628,98.2,7,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",65,33,87,189,0.05,12.4,15.2613973,99.6,13.5,95.14386751
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,,68,182,0.05,7.4,7.232913072,89.6,17,21.62381597
India,Assam,"Calendar Year (Jan - Dec), 2020",215,47,85,141,0.04,6.9,9.428206171,91.1,12.9,22.57158132
India,Bihar,"Calendar Year (Jan - Dec), 2020",149,37,94,100,0.07,0.5,5.998468122,84.8,14.5,16.78810135
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",,,77,606,0.08,11.1,8.783783784,99.9,9.5,1.428571429
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",159,45,95,148,0.1,26.4,17.34021905,98.3,6.6,14.71763282
India,Delhi,"Calendar Year (Jan - Dec), 2020",,19,92,575,0.15,12.7,7.562688064,96,9.2,50.40610989
India,Goa,"Calendar Year (Jan - Dec), 2020",,,94,157,0.03,16.8,19.37783539,99.9,9,32.99868766
India,Gujarat,"Calendar Year (Jan - Dec), 2020",75,31,87,232,0.05,11.2,10.88431387,99.5,9.5,41.19425241
India,Haryana,"Calendar Year (Jan - Dec), 2020",91,36,87,255,0.09,14.5,18.29069323,95.7,10.4,26.27625375
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",,23,86,235,0.02,8,15.36568694,92.4,14.4,66.16950561
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",,23,109,81,0.02,2.1,7.622573091,94.6,18.6,15.76306299
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",71,34,94,146,0.04,4.4,10.11415343,95.8,11,3.938431201
India,Karnataka,"Calendar Year (Jan - Dec), 2020",92,28,94,135,0.02,17.1,16.59921483,99.9,9.8,70.20423251
India,Kerala,"Calendar Year (Jan - Dec), 2020",43,10,92,75,0.02,24.3,12.41971239,99.9,17,115.000718
India,Ladakh,"Calendar Year (Jan - Dec), 2020",,23,109,81,0.02,2.1,7.622573091,94.6,18.6,15.76306299
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",,,92,23,,0,0,99.8,9.6,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",173,56,89,226,0.04,15.1,14.35125222,95.6,12.2,32.83670903
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",46,22,100,183,0.07,15.4,11.9216864,99.3,14.5,43.08434997
India,Manipur,"Calendar Year (Jan - Dec), 2020",,,82,83,0.34,1.9,5.014464802,84.6,14.4,37.56065574
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",,,99,154,0.23,6.1,5.445544554,60.4,10.7,24.67970969
India,Mizoram,"Calendar Year (Jan - Dec), 2020",,,92,237,1.18,5.9,5.271966527,89.9,9.9,49.90614334
India,Nagaland,"Calendar Year (Jan - Dec), 2020",,,54,233,0.73,1.9,1.020881671,83,7.9,1.107430194
India,Odisha,"Calendar Year (Jan - Dec), 2020",150,44,88,117,0.05,10.5,11.81985416,97.2,13.1,39.4386423
India,Puducherry,"Calendar Year (Jan - Dec), 2020",,,54,314,0.16,32.5,9.702970297,100,7.2,
India,Punjab,"Calendar Year (Jan - Dec), 2020",129,23,89,196,0.08,7.9,15.40799626,98.5,13.5,56.32892057
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",164,40,69,223,0.04,5.8,13.61193799,98.2,11.8,49.12018417
India,Sikkim,"Calendar Year (Jan - Dec), 2020",,,62,218,0.03,33.1,12.63157895,99.4,,24.52453988
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",60,17,84,138,0.04,17.8,13.88284331,99.9,9.1,65.46520917
India,Telangana,"Calendar Year (Jan - Dec), 2020",63,30,98,192,0.08,20.6,18.67875439,99.9,14.4,10.3396052
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",,,70.5,189,0.12,14,7.834370801,99.8,5.55,
India,Tripura,"Calendar Year (Jan - Dec), 2020",,,95,70,0.11,18.2,5.972013993,93.5,14.2,22.13302752
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",197,47,95,213,0.03,2.4,10.304602,87.6,16.6,13.54841642
