Country,State,Year,"Adjusted Net Enrolment Ratio (Aner) In Elementary Education For Classes 1 To 8 (UOM:%(Percentage)), Scaling Factor:1","Average Annual Dropout Rate At Secondary Level For Classes 9 To 10 (UOM:%(Percentage)), Scaling Factor:1","Gross Enrolment Ratio (Ger) In Higher Secondary For Classes 11 To 12 (UOM:%(Percentage)), Scaling Factor:1","Students In Grade Viii Achieving Atleast A Minimum Proficiency Level In Terms Of Nationally Defined Learning Outcomes To Be Attained By The Pupils At The End Of The Grade (%) (UOM:%(Percentage)), Scaling Factor:1","Gross Enrolment Ratio (Ger) In Higher Education In The Age Group Of 18 To 23 Years (UOM:%(Percentage)), Scaling Factor:1","Persons With Disability, Completed At Least Secondary Education With Age 15 Years And Above (%)  (UOM:%(Percentage)), Scaling Factor:1","Gender Parity Index (Gpi) For Higher Education In The Age Group 18 To 23 Years (UOM:Ratio), Scaling Factor:1","Literate Persons Under The Age Of 15 Years And Above (%) (UOM:%(Percentage)), Scaling Factor:1","Schools With Access To Basic Infrastructure Such As Electricity,Drinking Water (%) (UOM:%(Percentage)), Scaling Factor:1","Trained Teachers At Secondary Level For Classes 9 To 10 (%) (UOM:%(Percentage)), Scaling Factor:1","Pupil Teacher Ratio (Ptr) At Secondary Level For Classes 9 To 10 (UOM:Ratio), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",74.1,22.22,56.44,65.5,23.2,28.5,1.29,88.3,96.01449275,85.05477308,10
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",87.98,16.37,46.84,80.15,32.4,15.4,0.81,65.6,91.25996133,75.17659626,16
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",80.98,35.98,38.48,59.95,29.7,10.3,0.99,79.9,50.93593462,79.03649635,14
India,Assam,"Calendar Year (Jan - Dec), 2020",96.36,31.47,30.94,79.55,18.7,16.8,0.95,84.9,59.51390145,29.2946067,11
India,Bihar,"Calendar Year (Jan - Dec), 2020",86.54,28.46,26.39,78.3,13.6,18.5,0.79,64.7,88.66401564,78.44219452,58
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",85.78,4.52,83.43,81.55,50.6,37.4,1.54,89.1,100,89.49313622,12
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",89.25,18.29,52.08,68.9,18.6,17.2,1.06,74.1,90.03802822,78.02984528,18
India,Delhi,"Calendar Year (Jan - Dec), 2020",100,14.93,70.07,67.35,46.3,41,1.16,86.4,100,89.32937546,29
India,Goa,"Calendar Year (Jan - Dec), 2020",88.26,9.4,71.95,71.65,30.1,32.4,1.33,88.9,99.96635262,85.69935187,11
India,Gujarat,"Calendar Year (Jan - Dec), 2020",85.38,23.84,41.2,81.05,20.4,22.8,0.85,80.7,99.95236438,91.79558965,33
India,Haryana,"Calendar Year (Jan - Dec), 2020",89.31,14.79,56.05,71.6,29.2,25.1,1.23,77.3,98.81660576,89.09837023,15
