Country,State,Year,"Rate Of Crimes Against Women Per 1,00,000 Female Population (UOM:PerLakh(100000)), Scaling Factor:1","Sex Ratio At Birth (UOM:Ratio), Scaling Factor:1","Ratio Of Female To Male Average Wage Received Among Regular Wage Or Salaried Employees (UOM:Ratio), Scaling Factor:1","Per Lakh Women Who Have Experienced Cruelty Or Physical Violence By Husband Or His Relatives During The Year (UOM:PerLakh(100000)), Scaling Factor:1","Elected Women Over Total Seats In The State Legislative Assembly (%) (UOM:%(Percentage)), Scaling Factor:1","Ratio Of Female To Male Labour Force Participation Rate (Lfpr) In The Age Group Of 15 To 59 Years (UOM:Ratio), Scaling Factor:1","Proportion Of Women In Managerial Positions Including Women In Board Of Directors, In Listed Companies Per 1,000 Persons (UOM:Number), Scaling Factor:1","Currently Married Women With Satisfied Family Planning Methods (%) (UOM:%(Percentage)), Scaling Factor:1","Operational Land Holding Gender Wise (Percentage Of Female Operated Operational Holdings) (%) (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",72.2,,0.95,0.526315789,,0.39,,73,29.7975573
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",67.9,920,0.71,30.42081102,8,0.55,208,93.6,30.0864392
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",43.3,,0.56,7.397260274,5,0.26,,50,12.07296937
India,Assam,"Calendar Year (Jan - Dec), 2020",177.8,925,0.53,70.72824156,6.349206349,0.17,221,55.6,1.668045976
India,Bihar,"Calendar Year (Jan - Dec), 2020",32.3,895,0.75,4.583477959,11.52263374,0.06,214,51.4,13.99611269
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",95.2,,0.96,32.77777778,,0.35,274,72.5,10.82887701
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",53.5,958,0.64,5.090403338,14.44444444,0.64,250,79.3,13.79135987
India,Delhi,"Calendar Year (Jan - Dec), 2020",144,844,0.75,40.76262084,11.42857143,0.25,188,69.5,13.65032147
India,Goa,"Calendar Year (Jan - Dec), 2020",43.1,,0.78,1.184210526,5,0.44,197,56.5,25.68968523
India,Gujarat,"Calendar Year (Jan - Dec), 2020",27.1,866,0.81,11.16959064,7.558139535,0.28,190,67.4,16.48920635
