Country,State,Year,"Households Electrified Under Ministry Of Power In 2019 (%) (UOM:%(Percentage)), Scaling Factor:1","Lpg+Png Connections Against Number Of Households As Per Mopng Calculations As On 31072020 (%) (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,115.1515152
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",100,101.1575239
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",100,84.04907975
India,Assam,"Calendar Year (Jan - Dec), 2020",100,97.60584337
India,Bihar,"Calendar Year (Jan - Dec), 2020",100,76.55404542
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",,143.2234432
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",99.67,76.87344185
India,Delhi,"Calendar Year (Jan - Dec), 2020",100,147.3421512
India,Goa,"Calendar Year (Jan - Dec), 2020",100,146.84
India,Gujarat,"Calendar Year (Jan - Dec), 2020",100,93.32453459
India,Haryana,"Calendar Year (Jan - Dec), 2020",100,127.0796144
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",100,120.2294686
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",100,131.3043478
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",100,75.79481699
India,Karnataka,"Calendar Year (Jan - Dec), 2020",100,108.8052395
India,Kerala,"Calendar Year (Jan - Dec), 2020",100,110.777998
India,Ladakh,"Calendar Year (Jan - Dec), 2020",100,169.8113208
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",,90.90909091
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",100,85.24314319
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",100,108.6357172
India,Manipur,"Calendar Year (Jan - Dec), 2020",100,95.63758389
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",100,47.5
India,Mizoram,"Calendar Year (Jan - Dec), 2020",100,114.0740741
India,Nagaland,"Calendar Year (Jan - Dec), 2020",100,67.5879397
India,Odisha,"Calendar Year (Jan - Dec), 2020",100,79.52446273
India,Puducherry,"Calendar Year (Jan - Dec), 2020",100,97.90026247
India,Punjab,"Calendar Year (Jan - Dec), 2020",100,141.6639425
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",100,108.8844753
India,Sikkim,"Calendar Year (Jan - Dec), 2020",100,104.8611111
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",100,100.2876002
India,Telangana,"Calendar Year (Jan - Dec), 2020",100,120.4347358
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",,83.65384616
India,Tripura,"Calendar Year (Jan - Dec), 2020",100,82.39583333
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",100,106.8262434
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",100,115.3977031
India,West Bengal,"Calendar Year (Jan - Dec), 2020",100,98.13450937
