Country,State,Year,"Sdg India Index: No Poverty (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index:Zero Hunger (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Good Health And Well-Being (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Quality Education (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Gender Equality (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Clean Water And Sanitation (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Affordable And Clean Energy (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Decent Work And Economic Growth (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Industry, Innovation And Infrastructure (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Reduced Inequality (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Sustainable Cities And Communities (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Responsible Consumption And Production (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Climate Action (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Life On Land (UOM:%(Percentage)), Scaling Factor:1","Sdg India Index: Peace, Justice And Strong Institutions (UOM:%(Percentage)), Scaling Factor:1","Composite Score Of Sdg India Index (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",71,45,68,57,68,87,100,59,23,67,85,73,77,72,46,67
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",81,52,77,50,58,92,100,67,52,74,78,84,63,69,77,72
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",54,66,64,41,37,67,85,50,31,69,39,77,58,93,64,60
India,Assam,"Calendar Year (Jan - Dec), 2020",51,41,59,43,25,64,98,50,39,65,55,66,53,78,62,57
India,Bihar,"Calendar Year (Jan - Dec), 2020",32,31,66,29,48,91,78,50,24,48,67,59,16,62,73,52
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",75,97,74,79,58,99,100,70,45,100,98,78,61,85,73,79
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",49,37,60,55,64,89,78,64,36,72,78,64,38,65,71,61
India,Delhi,"Calendar Year (Jan - Dec), 2020",81,63,90,75,33,61,100,65,66,72,65,50,55,81,62,68
India,Goa,"Calendar Year (Jan - Dec), 2020",83,78,72,71,55,100,100,76,68,75,89,47,44,59,63,72
India,Gujarat,"Calendar Year (Jan - Dec), 2020",66,46,86,52,49,93,94,64,72,64,87,50,67,61,82,69
India,Haryana,"Calendar Year (Jan - Dec), 2020",69,58,72,64,43,80,100,59,66,68,81,77,51,48,71,67
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",80,52,78,74,62,85,100,78,61,78,79,77,62,68,73,74
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",69,71,70,49,46,88,100,47,42,65,57,95,63,52,74,66
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",36,19,74,45,51,83,77,54,37,65,71,55,25,71,70,56
India,Karnataka,"Calendar Year (Jan - Dec), 2020",68,53,78,64,57,85,100,66,64,67,78,89,62,67,76,72
India,Kerala,"Calendar Year (Jan - Dec), 2020",83,80,72,80,63,89,100,62,60,69,75,65,69,77,80,75
India,Ladakh,"Calendar Year (Jan - Dec), 2020",79,71,70,49,46,84,100,59,48,65,57,95,66,27,74,66
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",61,74,78,62,58,100,83,62,40,75,56,63,68,67,77,68
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",44,43,62,45,55,88,86,60,37,51,81,78,49,84,66,62
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",66,44,83,64,51,90,100,62,66,71,87,82,58,52,69,70
India,Manipur,"Calendar Year (Jan - Dec), 2020",60,64,68,63,41,87,96,36,35,70,65,89,57,60,69,64
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",77,37,70,48,51,75,50,63,25,88,51,73,62,64,72,60
India,Mizoram,"Calendar Year (Jan - Dec), 2020",80,72,79,60,54,85,100,51,32,64,61,87,66,48,81,68
India,Nagaland,"Calendar Year (Jan - Dec), 2020",73,64,61,39,48,87,69,48,30,46,48,91,69,63,79,61
India,Odisha,"Calendar Year (Jan - Dec), 2020",41,42,67,45,46,86,80,48,46,66,70,73,70,83,59,61
India,Puducherry,"Calendar Year (Jan - Dec), 2020",75,59,70,70,66,91,98,68,59,62,76,66,23,50,86,68
India,Punjab,"Calendar Year (Jan - Dec), 2020",69,73,77,60,45,66,100,57,69,68,91,71,51,48,76,68
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",63,53,70,60,39,54,100,57,45,45,81,74,49,43,73,60
India,Sikkim,"Calendar Year (Jan - Dec), 2020",80,69,62,58,58,89,100,71,52,61,85,76,65,73,72,71
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",86,66,81,69,59,87,100,71,71,74,79,78,61,63,71,74
India,Telangana,"Calendar Year (Jan - Dec), 2020",68,50,67,63,41,96,100,73,59,67,76,73,43,81,71,69
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",65,27,80,56,53,95,71,57,47,66,89,62,18,62,75,62
India,Tripura,"Calendar Year (Jan - Dec), 2020",82,52,67,42,39,82,83,57,35,85,67,99,41,69,80,65
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",44,41,60,51,50,83,100,53,42,41,77,79,39,61,79,60
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",74,61,77,70,46,85,100,63,56,77,76,82,60,64,86,72
India,West Bengal,"Calendar Year (Jan - Dec), 2020",59,46,76,54,41,81,98,57,53,71,45,79,39,53,81,62
